"hotel","location","ranking","rating","review_count","min_price_usd","max_price_usd","review","date"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","This was a delicious breakfast with plentiful portions. The owner was incredibly friendly and made my out-of-town friends and myself feel welcomed.","Date of visit: November 2023"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","Casual spot great for quick eat before hopping on the Tube. Staff was very friendly and easy to make adjustments to menu. Great overall!","Date of visit: November 2023"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","During our family vacation to London we were lucky enough to find the Divine restaurant coffee bar tucked under a bridge—a true hidden gem! The service was amazing, and the cozy atmosphere made it a delightful find. They offer a great breakfast menu, and what...stood out was their flexibility for kids. A perfect spot for a family outing.More","Date of visit: November 2023"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","Its Amazing only the service was quite slow but the desert i had really fantastic i wish coming back again","Date of visit: June 2023"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","After trying various different restaurants nearby, the Devine restaurant is the best just not the food and the price but the service is. Espectacular. I highly recommend.","Date of visit: November 2023"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","The food is great and traditional, there you can find real English Breakfast.
Also everyone there was amazing and super nice.","Date of visit: November 2023"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","A certain member of staff had a seriously poor attitude! I can say the food was really good. Just a shame the customer service could not have been better .More","Date of visit: November 2023"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","Sid welcomed us like family & a “reserved” table! Our coffee was phenomenal- the best coffee we had on our week stay (hint: try the caramel cappuccino w an extra shot of expresso). We came for breakfast every single weekday on our trip. I highly...recommend this place!More","Date of visit: October 2023"
"Devine Restaurant Coffee Bar","19 Vine Street, London EC3N 2PX England","#2 of 15,800 Restaurants in London","5.0 ","(577)","$5","$10","This is a hidden gem – at the time of writing, you can cut through past the Silver Tiger statue. Otherwise, find Minories and follow Hammett Street around to the right and into the Crescent, then under the railway bridge. Look out for a sign...set high on the wall, as the entrance door is tucked back at an angle and easy to miss.

The cafe is a great space – large yet relaxed and cosy, clean and comfortable. Sid, the owner, is a lovely guy – attentive and happy to chat, but not in the least bit pushy. He clearly takes a lot of pride in his business. (And rightly so!)

The cafe was fairly busy with the tail end of the breakfast crowd, but we were seated and got our menus promptly, and drinks soon arrived while we chose our food. The cappuccino was exceptional – nice strong coffee, and lovely thick foam that lasted to the end. (Like a dessert in a cup – in a good way!) I couldn't manage two, but the tea (builders'-style) I had later was strong and refreshing.

We both had the V3 breakfast with extra black pudding. Good-quality bacon cooked until slightly crisp but not dry, a lovely herby sausage, tasty baked beans, an 'over easy' fried egg, and thick toast. The black pudding had loads of flavour and was perfectly cooked. Last but not least, 'proper' chips – thick-cut, fluffy on the inside and crispy on the outside. 

In short, the café, staff and food were all fantastic, and we intend to come back soon! Highly recommended!More","Date of visit: November 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Dinner at Kinnara was a great experience - combination of very good service, great views of the river and above all - amazing food. It is indian restaurant, but with a chef's touch that made it more interesting and modern. Highly recommended!","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","My much better half treated me to dinner at Kinaara for my birthday the other day, and I can hardly imagine a more wonderful gift. The food, the place, and the team were (are!) amazing. We loved it.

We were seated at a beautiful corner...table with a view of Canary Wharf and Docklands, with their reflections glistening in the river. The view alone is worth a visit, but when the food appears and we see each others’ smiles at what we are being served, the view is but a pretty little distraction.
 
The amuse-bouche really did amuse (our ‘bouches’, I guess). It supposed to be little teaser, and, oh, does it tease. A delicate, light play on corn, it is both wonderfully subtle and a slap in the face, telling your palate “strap in, hold tight, you’re here for an adventure”.

A few reviews had mentioned the grilled broccoli, and how surprised they were at something so simple being so spectacular. Well, they weren’t wrong. They’re a triumph: hint of smokiness, a hint of spice, just enough crunch, and yet so comfortably smooth and soft and, excuse me, sexy. Outrageous. 

Slap the word tandoori in front of anything, and I’ll be certain to try it. It doesn’t always work, but give a great chef a tandoor, and, hey, presto: Magic. These chefs definitely know what they’re doing. A bit like a good pizza oven, it does a lot of the work, but you still have to put in the effort, and the right ingredients, in the right order. 

The tandoori prawns are as glorious as they look. The missus ;) knew that although we’re sharing all these marvellous dishes, there was no chance I wasn’t going to have most of the prawns. I love good seafood, and this is seafood at its very best. 

Being from Azerbaijan means growing up with a lot of lamb dishes, and usually, as in her case, becoming quite picky and curious about other interpretations of lamb. She chose two lamb dishes. Considering she married me, you’d be entitled to question her choices, but not these. This time, she chose well. 

The dainty chops, the lamb starters, Lamb Barrah, were just lovely. I looked around to make sure I don’t embarrass myself and saw a guest at another table picking up a lamb chop as it should be picked up and gnawing at it. This is not a dish that should be eaten with knife and fork alone. You want to have every last bit of spicy, juicy, crispy yumminess. These little lambs did not sacrifice themselves in vain.

Of course I had to order a biryani. Some of my best friends are Gujarati. Some of the best meals I have ever eaten were biryanis. This one, Dum Pukht Chicken Biryani, the one with the pastry lid, is right up there with the best of them. 

Our other main, the lamb shank, Lamb Nihari, is a joke. It defies physics. How? Just how? How does it stay on the bone just long enough to reach our table and then fall off? How does it stick on the fork and then melt in the mouth like a meaty toffee?

And while I ponder the impossibility or, at the very least, unlikelihood of these dishes, my darling dearest has a taste of the Dal Makhani, dark and creamy lentils from heaven, and gives me a knowing look. This is good, really, really good, she tells me - without saying the words. Thank you for taking me here (with words), and thank Zana for recommending this.

And before it gets too repetitive - it was really was that consistently great - and just after briefly noting that the desserts were sensational too, may I just mention that although I loved it all, my personal culinary highlight, the dish that was most for me and most like me, was the unlikely okra, Masala Bhindi: Humble, but arrogant, subtle and yet brash, with a bit of bite, but also unashamedly a little slippery, not to everyone’s liking, but, well, liked, somehow.

I blame it on my partly Turkish roots. Okra is a delicacy in Turkey and it is also a delicacy by virtue of it being delicate. Even slightly overcooked, it becomes a gloopy mess. Slightly under, and it’s torture, like the sort half-cooked beans English restaurants used to serve. I have had okra many many times. My dad is an okra expert and he makes damn fine okra dishes. We disagree and argue a lot, but on this we agree. This okra, Kinaara’s okra, ‘our’ okra is wonderful. It’s life-affirming. 

Occasionally, I have had people tell me that they don’t like “spicy” food, and I try my very best to be polite, respectful and understanding, but on the inside, in my mind, in the deep recesses of my soul, I pity them. 

I believe that the two great national cuisines, if there is such a thing, are Italian and Indian. Yes, there is good and even great food in all sorts of places, but considering the quality of food I have eaten both in restaurants and in private homes, the pride in the ingredients and the preparation, these two cuisines are quite clearly exceptional. I have travelled a bit and eaten a lot (plus I’m ridiculously old) and with my family from or in four continents, I know that is quite a generalisation, but I know it’s true.

I had a great aunt, god rest her soul, my nan’s brother’s wife, who was from Bangalore, and who introduced me to her cuisine when I was just a toddler, and, yes, it was by far the best food I had as a child - or since. She lived in Germany for most of her adult life, and whenever we visited I would spend hours with her in the kitchen, as she cooked and cursed the lack of proper food or ingredients in the shops, or laughed and sneered at what Germans and other Europeans called “curry”.

And, yes, the use of spices in Indian food is very pronounced. But to describe Indian cuisine simply as spicy, or even ‘too spicy’, is ridiculous. What great Indian food demonstrates is that spices are ingredients among many others, elements within a dish, prepared with attention to detail, with intricate timing, using all the various traditional and modern techniques and tools to create something delicious and nutritious. Not liking food because it is spicy, is no less silly than not liking food that is marinated, food that is properly cooked, made in stages rather than just thrown together randomly, or, frankly, food with any discernible taste.

The food at Kinaara is just that: bursting with taste, made with great care, with discernment and discipline, with deft, delicate touches, with experience and expression, prepared, presented and served by excellent, thoroughly pleasant professionals. 

We were served, expertly, by Varun, and welcomed by Diveena and Soniya, and both Zana, the fabulously charming restaurant manager, and Mohan, who manages all the restaurants and bars at the hotel with a lovely blend of pride and humility, came to greet us, all of whom made it a memorable experience for which we are truly grateful.

We cannot wait to go back, although it will be a real struggle to decide whether we try the other great sounding dishes on the menu, or ordering these again, renewing our wows.More","Date of visit: February 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","From start to end the experience was stunning. The flavours and spices in the food were so good. Service was brilliant by Roshaan, very attentive. 
We will definitely be back.","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Absolutely loved the food it was delicious. Wonderful waiters ashish and sonal warmed my heart and made me feel so welcomed in their beautiful wonderful restaurant 😋👍🏼","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Lovely food and Roshaan was great. We was welcomed warmly and seen to our tables. The butter chicken is a must","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","We had a very nice experience! This restaurant is not like the traditional Indian restaurants you know. It's a completely different experience and you get to try new dishes. We were served by Roshaan; a very friendly and attentive waiter. Plus, the view from this...restaurant is phenomenal and amazing. We can only recommend this restaurant.More","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Excellent food and great service. All the staff were very helpful and our waitress Sonal was particularly great. The starters were were exceptional.","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Exceptional food and outstanding service. Thank you for an enjoyable evening dinner. Would highly recommend the restaurant for the quality of food and staff's attentiveness.","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","My wife and I had a wonderful time over dinner at Kinaara. Staff were very nice and respectful and food was extremely delicious. Would highly recommend to anyone visiting London.","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","We ate here twice in three days! London has many options, but if one is anywhere near the O2, skip the venues near the arena and visit Kinaara on floor two of the intercontinental hotel. The restaurant has two glass walls overlooking the Thames, the...prime meridian (marked at night with a green laser) and part of the  London skyline. The views are spectacular. The restaurant  is even better. 

Kinaara is exceptional. It is very welcoming and the staff are outstanding, and the food is delicious. I have eaten in many Indian restaurants and never seen the cuisine presented as elegantly as it is here. I have also not enjoyed such a complexity of flora. Indian sauces are complex but Kinaara    does something special. Make a reservation and enjoy a relaxed evening of delicious  food. 

More adventurous dishes include the broccoli, which is spicy and amazingly good. People who feel less adventurous can not go wrong with the Butter chicken. The garlic naan is exceptional. 

The first evening, we had a group of 7 and “Ashish” waited in us and the second evening , we were just a couple, returning to try more dishes and our waiter was “Roshaan.”  Both men are professional and very knowledgable about the wines and the cuisine. 
This restaurant is an excellent  choice for creative, modern Indian cuisine and fine wines & liquors.More","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","We were severed by Gonal & Ashish and they were absolutely amazing! The service was great and the food was absolutely amazing! I can’t thank the service team enough for treating us so well! Thank you!","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Excellent location both in terms of closeness to O2 and views out from restaurant. Friendly attentive staff matched by high quality authentic Asian food.","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Last week I had a large group booking at this Restaurant.
Zana & her team Delivered an impeccable service, complemented by Deliciously outstanding food. 
No doubt I will be back and I would highly recommend 100%.","Date of visit: November 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Amazing quality service, from our server Ashish! Really lovely mains and desserts, highly recommended!","Date of visit: December 2023"
"Kinaara","1 Waterview Drive Greenwich Peninsula, London SE10 0TW England","#3 of 15,800 Restaurants in London","5.0 ","(334)","$44","$95","Excellent evening.  Amazing food and the attention to detail of ALL staff made for lovely memorable meal at Kinaara - thank you 👏🏽","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","A fantastic family restaurant with delicious food and excellent service. We had a really great dinner...so tasty. Very reasonable prices.","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","We had dinner at Sitara and it was really delicious. Everything is good: the starter, the main course and the garlic nan is succulent! The team is really nice, we had a great time! 
The jazz music sets a great mood in the restaurant! 
I'd...recommend this restaurant 100%! 

Greatings from France 🇫🇷 !!More","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","Excellent Indian restaurant with a really great jazz atmosphere. It was a really pleasant moment. I will definitely recommend The Sitara!","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","Wonderful food, lovely jazz music and exceptional welcome.  Sitara is an amazing experience with high quality food. Raj is a lovely host.","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","A very friendly family run restaurant. Delicious food, great service. A little oasis on the Holloway Rd. Highly recommended.","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","Wonderful Experience at an Indian Restaurant! My recent visit to an Indian restaurant was truly delightful. The food was exceptional, offering an array of delicious flavors that left me satisfied. The ambiance was elevated by the fantastic music selection, including the enjoyable addition of Turkish...jazz tunes. The fusion of great food and captivating music created an unforgettable dining experience. Highly recommend this place for anyone seeking fantastic Indian cuisine coupled with a musical treat!More","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","This is a great place! The food is delicious, great music, great vibe. The staff are really friendly, take their advice on the menu","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","This is easily the best restaurant in Archway. 

The atmosphere is always buzzing and the variety of customers always leads to a friendly conversation. The food is also excellent and you can tell a lot of care has been taken in cultivating the menu.","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","Excellent service, superb food - the best curry in Archway without a doubt. 
Raj and his team always provide a great experience and we recommend it to all of our friends.","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","We had a Friday night date here and it was so brilliant! The atmosphere is lovely. Dim lighting, gorgeous jazz and great wine. All of the food is freshly made, tasty and very affordable. We will def be making a habit of coming back.","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","Fantastic food. Really welcoming and cosy atmosphere.

Staff super friendly. Everything felt incredibly personal. 

Will be back here many times!","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","Lovely food and excellent staff who gave good advice and were very pleasant with a good sense of humour - the music and atmosphere was also very good and added to an enjoyable evening","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","Found this place walking back from Archway. Looked really inviting and cosy on a cold, rainy evening. The soft lighting and jazz playing made us feel at ease. Staff were really friendly and gave as good advice about what to order and options about level...of spice.
They even let us try a dish we were contemplating. As a vegan, I ordered a selection of veg side dishes and the flavours of the dishes were amazing.
I will definitely be back. Recommend for a date night, friendly catch up or work night out.More","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","Absolutely lovely food and great atmosphere. Delicious authentic curry and sides. Would fully recommend.","Date of visit: December 2023"
"Sitara","784 Holloway Road Archway, London N19 3JH England","#4 of 15,800 Restaurants in London","5.0 ","(900)","","","We were very pleasantly surprised when we randomly chose this place for a curry.  The food is well above the typical Indian restaurant fare, all cooked from fresh, and if you like jazz, as we do, you'll enjoy the soundtrack.  The night we were there...we had 1960's West Coast jazz - what's not to like? The volume is just right, too - loud enough to have a presence, not so loud that you can't have a conversation.  There's live music once a month.More","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Great vibe! Fun place to hang out with friends. Stephan and Veronica were great hosts - would recommend for a fun Saturday afternoon","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Veronica was a fantastic waitress and Stephane a great host. Our brunch was delicious, I had the blueberry pancakes with marscapone and bacon, chefs kiss! Great vibes and great tunes as well :) would definitely come again for a (slightly) boozy brunch!","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Great sweetcorn frittata and very friendly service at Scarlett Green. Stephan and Veronica in particular were very friendly hosts.","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Wonderful brunch here with a group of 21 ladies for a hen party! The food was incredible, super easy to organise by sending a link to each guest for preorders, and the bubbles were flowing freely. They even extended our table for half an hour....Really thoroughly recommend!!More","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","We found Scarlett green by accident. Amazing brunch, desserts and of course mimosa for the end. Thank you very much Stephane and Alex for the welcoming and that you take care of us. We will come back","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Great experience, great food, great service with Stephane, Salza and Jack! Fantastic cocktails, brunch menu and coffee","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Fabulous brunch. Delicious food. Brilliant service. Staff were extremely friendly. Attentive but not overbearing.

Nice atmosphere. Perfect location.

Blood Mary’s to die for!","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Wow wow wow!!! Very pleasant restaurant with excellent staff. We were served by Stephane. What a very kind man! We are very glad to have met you. So professional. unobtrusive and warm person. The food was amazing, as were the pancakes and coffee. 120% recommended....It's a must when you're in London. And if you're lucky, Stephane will serve you :)More","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Came here with friends and enjoyed a nice lunch and lots of prosecco!!! Stephane and eivissa looked after us very well, will come back again Xx","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Gorgeous food & great service! Lovely atmosphere inside. Eivissa & Stephan made us feel really welcome. 
Thanks!","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","The most incredible brunch! Stephan Salza was such a wonderful waiter and took great care of us. We came for a celebratory brunch, and everyone had a great time! Mimosas all round! I can highly recommend the fancy bacon roll, and the tiramisu lamington! Go...all out - you won’t regret it! The dirty Daisy, the bondi, and the sweetcorn fritters also went down a treat. Cannot wait to come back soon!More","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","I came to Scarlett Green by chance on my own and I was not disappointed. I was having a very busy day and as soon as I stepped in I felt I could relax. I sat at a lovely table by the window with fresh...roses. I ordered sweetcorn fritters with poached eggs and it was just what I needed. Stephane and the waiters were very attentive and made me feel at home. Playlist was on point and I was shazamming all the way through. The decor was fun, playful and colourful. I would highly recommend this restaurant for people who enjoy brunches in comfortable surroundings.More","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Excellent food and service. Bottomless Prosecco was free flowing. Couldn’t recommend more and excellent decor Gaytime pancakes are a definite","Date of visit: December 2023"
"Scarlett Green","4 Noel Street Soho, London W1F 8GB England","#5 of 15,800 Restaurants in London","5.0 ","(3,544)","","","Amazing time! Delicious food and also great service from Salza & Alex. We will definitely be back. Thank you guys!! :) :)","Date of visit: December 2023"
